1732671932.678130 server started (2053): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1732671932.678163 on Darwin 24.1.0 Darwin Kernel Version 24.1.0: Thu Oct 10 21:03:11 PDT 2024; root:xnu-11215.41.3~2/RELEASE_ARM64_T6020
1732671932.678170 using libevent 2.1.12-stable select
1732671932.678180 using utf8proc 2.9.0
1732671932.678186 using ncurses 6.5 20240427
1732671932.678327 input_key_build: 0x10e003 (PasteStart) is \033[200~
1732671932.678334 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1732671932.678398 input_key_build: 0x10e195 (F1) is \033OP
1732671932.678404 input_key_build: 0x10e196 (F2) is \033OQ
1732671932.678409 input_key_build: 0x10e197 (F3) is \033OR
1732671932.678413 input_key_build: 0x10e198 (F4) is \033OS
1732671932.678418 input_key_build: 0x10e199 (F5) is \033[15~
1732671932.678422 input_key_build: 0x10e19a (F6) is \033[17~
1732671932.678426 input_key_build: 0x10e19b (F7) is \033[18~
1732671932.678430 input_key_build: 0x10e19c (F8) is \033[19~
1732671932.678435 input_key_build: 0x10e19d (F9) is \033[20~
1732671932.678439 input_key_build: 0x10e19e (F10) is \033[21~
1732671932.678443 input_key_build: 0x10e19f (F11) is \033[23~
1732671932.678447 input_key_build: 0x10e1a0 (F12) is \033[24~
1732671932.678451 input_key_build: 0x10e1a1 (IC) is \033[2~
1732671932.678456 input_key_build: 0x10e1a2 (DC) is \033[3~
1732671932.678460 input_key_build: 0x10e1a3 (Home) is \033[1~
1732671932.678464 input_key_build: 0x10e1a4 (End) is \033[4~
1732671932.678468 input_key_build: 0x10e1a5 (NPage) is \033[6~
1732671932.678472 input_key_build: 0x10e1a6 (PPage) is \033[5~
1732671932.678477 input_key_build: 0x10e1a7 (BTab) is \033[Z
1732671932.678482 input_key_build: 0x10e1a8 (Up) is \033[A
1732671932.678487 input_key_build: 0x10e1a9 (Down) is \033[B
1732671932.678491 input_key_build: 0x10e1aa (Left) is \033[D
1732671932.678495 input_key_build: 0x10e1ab (Right) is \033[C
1732671932.678500 input_key_build: 0x10e1ac (KP/) is /
1732671932.678504 input_key_build: 0x10e1ad (KP*) is *
1732671932.678508 input_key_build: 0x10e1ae (KP-) is -
1732671932.678512 input_key_build: 0x10e1af (KP7) is 7
1732671932.678516 input_key_build: 0x10e1b0 (KP8) is 8
1732671932.678520 input_key_build: 0x10e1b1 (KP9) is 9
1732671932.678524 input_key_build: 0x10e1b2 (KP+) is +
1732671932.678528 input_key_build: 0x10e1b3 (KP4) is 4
1732671932.678533 input_key_build: 0x10e1b4 (KP5) is 5
1732671932.678537 input_key_build: 0x10e1b5 (KP6) is 6
